Malaysia	2.635	74.024560976
Lao PDR	2.747	67.064
Japan	1.39	82.932682927
Hong Kong SAR, China	1.1079999999999999	82.87804878
Guam	2.47	75.994268293
French Polynesia	2.09	75.076878049
Fiji	2.668	69.225829268
Dem. Rep. Korea	2.022	68.532146341
China	1.598	73.273097561
Cambodia	2.5810000000000004	62.536219511999995
